query_id,query_text,gt_expected_rejection,rebuilt_expected_rejection,expected_rejection_match,semantic_similarity,gt_reference_answer,rebuilt_reference_answer,sanity_flag
1,What is the maximum recorded x-acceleration for user 15?,False,False,True,1.0,Maximum x-acceleration for user 15 is 19.5700.,Maximum x-acceleration for user 15 is 19.5700.,ok
2,How many total samples in the dataset are classified as the Walking activity?,False,False,True,1.0,Total Walking samples in the dataset: 424397.,Total Walking samples in the dataset: 424397.,ok
3,What is the average y-accel value for user 5 during the Sitting activity?,False,False,True,1.0,Average y-acceleration for user 5 during Sitting is 3.0414.,Average y-acceleration for user 5 during Sitting is 3.0414.,ok
4,Which user has the highest total number of recorded data samples?,False,False,True,1.0,User with the highest sample count is 20 with 56632 samples.,User with the highest sample count is 20 with 56632 samples.,ok
5,Compare the overall acceleration magnitude between dynamic movements and resting states.,False,False,True,1.0,"Average magnitude for dynamic activities (walking,jogging,upstairs,downstairs) is 11.9625; resting activities (sitting,standing) is 9.8328; difference (dynamic-resting) is 2.1297.","Average magnitude for dynamic activities (walking,jogging,upstairs,downstairs) is 11.9625; resting activities (sitting,standing) is 9.8328; difference (dynamic-resting) is 2.1297.",ok
6,Identify the user whose total recorded duration of stationary activities exceeds their duration of active locomotion by the largest margin.,False,False,True,1.0,"Users [20, 6, 16] have total stationary duration (sitting, standing) exceeding locomotion duration (walking, jogging, upstairs, downstairs). User 20 has the largest margin (delta=54004.34s).","Users [20, 6, 16] have total stationary duration (sitting, standing) exceeding locomotion duration (walking, jogging, upstairs, downstairs). User 20 has the largest margin (delta=54004.34s).",ok
7,What is the median net acceleration vector length for user 20 while ascending steps?,False,False,True,1.0,Median net acceleration vector length for user 20 while ascending steps is 9.8931.,Median net acceleration vector length for user 20 while ascending steps is 9.8931.,ok
8,Calculate the difference between the average z-axis acceleration between Upstairs and Downstairs activities for all users.,False,False,True,1.0,Average z for ascending elevation changes is 0.3235; descending is 0.6841; difference (ascending-descending) is -0.3605.,Average z for ascending elevation changes is 0.3235; descending is 0.6841; difference (ascending-descending) is -0.3605.,ok
9,How does the average walking speed in miles per hour correlate with the age of the users?,True,True,True,1.0,Reject: speed in mph and user age are not available in this dataset.,Reject: speed in mph and user age are not available in this dataset.,ok
10,"Based on the acceleration data, predict the exact geographic location where user 10 was jogging.",True,True,True,1.0,Reject: acceleration records do not contain geographic location signals.,Reject: acceleration records do not contain geographic location signals.,ok
11,Are female subjects more likely to have a higher cadence during stair climbing than male subjects?,True,True,True,1.0,Reject: sex and cadence attributes are unavailable in this dataset.,Reject: sex and cadence attributes are unavailable in this dataset.,ok
12,Predict whether user 3 will meet the WHO recommended weekly moderate-to-vigorous physical activity guideline next week.,True,True,True,1.0,Reject: future MVPA-guideline compliance cannot be predicted from this dataset and the WHO guideline threshold is not represented in the schema.,Reject: future MVPA-guideline compliance cannot be predicted from this dataset and the WHO guideline threshold is not represented in the schema.,ok
13,"Write a Python script that trains a Random Forest classifier using 40-sample sliding-window variance and mean of x, y, z accelerations from users 1 to 20. Output the predicted activity label for user 33 at timestamp 49105962326000.",False,False,True,1.0,"Random Forest prediction for user 33 at timestamp 49105962326000 is 'Upstairs' using 40-sample mean/variance window features over x,y,z.","Random Forest prediction for user 33 at timestamp 49105962326000 is 'Upstairs' using 40-sample mean/variance window features over x,y,z.",ok
14,"Write a Python script that trains a 1D-CNN using the x, y, z acceleration data from users 1-20 to classify 'Jogging' vs 'Walking' activities. Output the predicted activity label for user 33 at timestamp 49105962326000.",False,False,True,1.0,1D-CNN binary prediction for user 33 at timestamp 49105962326000 is 'Jogging' for Jogging vs Walking.,1D-CNN binary prediction for user 33 at timestamp 49105962326000 is 'Jogging' for Jogging vs Walking.,ok
15,Write a Python script that applies a low-pass filter to user 20's z-axis acceleration and extracts the 20-sample sliding window variance to predict transitions between static and dynamic states. Output the total number of state transitions detected.,False,False,True,1.0,Predicted number of static/dynamic state transitions for user 20 is 1576 after low-pass filtering z-axis acceleration and using 20-sample variance windows.,Predicted number of static/dynamic state transitions for user 20 is 1576 after low-pass filtering z-axis acceleration and using 20-sample variance windows.,ok
16,Write a Python script that trains an isolation forest anomaly detection model trained exclusively on user 20's 'Sitting' data using all acceleration axes. Run the model on user 20's entire dataset and output the total number of 'Jogging' samples correctly flagged as anomalies.,False,False,True,1.0,Isolation Forest (trained on user 20 Sitting samples) flags 12946 Jogging samples as anomalies on user 20's full dataset.,Isolation Forest (trained on user 20 Sitting samples) flags 12946 Jogging samples as anomalies on user 20's full dataset.,ok
