source_file,baseline,query_id,query_text,expected_rejection,gt_reference_answer,candidate_answer,candidate_rejected,candidate_executed,candidate_code,llm_verdict,llm_score,llm_reason,gt_sanity,gt_sanity_note,llm_raw
[in_memory_benchmark_run],FLASH_FUSION,1,What is the minimum MLII value recorded for record_id 101?,False,Minimum MLII for record_id 101 is -3.1750.,The result is -3.175,False,True,"TYPED_EXECUTION_CERTIFICATE
{""certificate_status"": ""ok"", ""typed_plan_sha256"": ""cc439b378e8b352879a5304dfe98af51976e7e178578c36a15ee2350242d0a9d"", ""operators_used"": [""FILTER_COMPARE"", ""AGGREGATE_COLUMN""], ""rows_scanned"": 26000000, ""rows_after_filter"": 650000, ""latency_ms"": 30.201, ""result"": -3.175}",PASS,1.0,Candidate answer matches the ground truth value of -3.175 for the minimum MLII of record_id 101.,SOUND,Ground truth is consistent with deterministic hint and code execution result.,"{
  ""verdict"": ""PASS"",
  ""reason"": ""Candidate answer matches the ground truth value of -3.175 for the minimum MLII of record_id 101."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Ground truth is consistent with deterministic hint and code execution result.""
}"
[in_memory_benchmark_run],FLASH_FUSION,2,What is the total recording duration in seconds (maximum time_s) for record_id 234?,False,Total recording duration for record_id 234 is 1805.5528 seconds.,The result is 1805.5527777777777,False,True,"TYPED_EXECUTION_CERTIFICATE
{""certificate_status"": ""ok"", ""typed_plan_sha256"": ""b51f36b94e38539bd6984b0045960120ee847e72e78574210b68c38f2e2a0aa9"", ""operators_used"": [""FILTER_COMPARE"", ""AGGREGATE_COLUMN""], ""rows_scanned"": 26000000, ""rows_after_filter"": 650000, ""latency_ms"": 34.335, ""result"": 1805.5527777777777}",PASS,1.0,The candidate answer matches the ground truth within acceptable rounding tolerance.,SOUND,Matches deterministic hint and executed result.,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer matches the ground truth within acceptable rounding tolerance."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Matches deterministic hint and executed result.""
}"
[in_memory_benchmark_run],FLASH_FUSION,3,"For record_id 106, how many samples have MLII > 0?",False,record_id 106 has 111769 samples with MLII > 0.,The result is 111769,False,True,"TYPED_EXECUTION_CERTIFICATE
{""certificate_status"": ""ok"", ""typed_plan_sha256"": ""6b3808b7e49d5eb3cfd23a509d91a02170bf02b580a8c32dfa807416e591a493"", ""operators_used"": [""FILTER_COMPARE"", ""FILTER_COMPARE"", ""COUNT_ROWS""], ""rows_scanned"": 26000000, ""rows_after_filter"": 111769, ""latency_ms"": 41.755, ""result"": 111769}",PASS,1.0,Candidate answer matches the ground truth value of 111769 samples with MLII > 0 for record_id 106.,SOUND,Matches deterministic hint and executed code result.,"{
  ""verdict"": ""PASS"",
  ""reason"": ""Candidate answer matches the ground truth value of 111769 samples with MLII > 0 for record_id 106."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Matches deterministic hint and executed code result.""
}"
[in_memory_benchmark_run],FLASH_FUSION,4,What is the timestamp (time_s) of the last annotated beat for record_id 221?,False,The last annotated beat in record_id 221 occurs at time_s = 1805.027778.,The result is 1805.0277777777776,False,True,"TYPED_EXECUTION_CERTIFICATE
{""certificate_status"": ""ok"", ""typed_plan_sha256"": ""8cb23d53b8d86f7a86c450940fc64354a704bae077159098369e67bdf846de77"", ""operators_used"": [""FILTER_COMPARE"", ""FILTER_NOT_EMPTY"", ""AGGREGATE_COLUMN""], ""rows_scanned"": 26000000, ""rows_after_filter"": 2462, ""latency_ms"": 135.505, ""result"": 1805.0277777777776}",PASS,1.0,The candidate answer matches the ground truth value within acceptable rounding tolerance.,SOUND,Matches deterministic hint and is consistent with executed code result.,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer matches the ground truth value within acceptable rounding tolerance."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Matches deterministic hint and is consistent with executed code result.""
}"
[in_memory_benchmark_run],FLASH_FUSION,5,"For record_id 208, what is the average count of rows with a non-empty annotation in each 60-second time_s bin?",False,"For record_id 208, the average annotation count per 60-s time_s is 98.064516.",The result is 98.06451612903226,False,True,"TYPED_EXECUTION_CERTIFICATE
{""certificate_status"": ""ok"", ""typed_plan_sha256"": ""e62326fa5902557012fcb3ef81c7dc8b9479861dfb73ee4311bf3d77645217ad"", ""operators_used"": [""FILTER_COMPARE"", ""FILTER_NOT_EMPTY"", ""DERIVE_BIN"", ""GROUP_AGGREGATE"", ""AGGREGATE_GROUPS""], ""rows_scanned"": 26000000, ""rows_after_filter"": 3040, ""latency_ms"": 599.627, ""result"": 98.06451612903226}",PASS,1.0,The candidate answer 98.065 matches the ground truth 98.065 within acceptable rounding tolerance.,SOUND,Matches deterministic hint and executed result.,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer 98.065 matches the ground truth 98.065 within acceptable rounding tolerance."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Matches deterministic hint and executed result.""
}"
[in_memory_benchmark_run],FLASH_FUSION,6,Which record_id exhibits the largest difference between maximum and minimum MLII?,False,record_id 116 has the largest peak-to-peak MLII amplitude at 10.2350.,"The result is {'record_id': 116, 'MLII_range': 10.235}",False,True,"TYPED_EXECUTION_CERTIFICATE
{""certificate_status"": ""ok"", ""typed_plan_sha256"": ""708b2035d2f709a7fd2305a1bdb0d64695e518cddd59b878ed7bf2f3e1f24c9c"", ""operators_used"": [""PARALLEL_AGGREGATE"", ""DERIVE_BINARY"", ""RANK_ROWS""], ""rows_scanned"": 26000000, ""rows_after_filter"": 40, ""latency_ms"": 1078.17, ""result"": {""record_id"": 116, ""MLII_range"": 10.235}}",PASS,1.0,"Candidate answer correctly identifies record_id 116 with MLII range 10.235, matching the ground truth referent.",SOUND,Ground truth is consistent with deterministic hint and code output.,"{
  ""verdict"": ""PASS"",
  ""reason"": ""Candidate answer correctly identifies record_id 116 with MLII range 10.235, matching the ground truth referent."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Ground truth is consistent with deterministic hint and code output.""
}"
[in_memory_benchmark_run],FLASH_FUSION,7,"For record_id 101, which 10-second interval contains the highest number of annotated beats?",False,"The 10-second interval [110s, 120s) contains the highest number of annotated beats for record_id 101 with 15 beats.","The result is {'interval_start': 110.0, 'count': 15}",False,True,"TYPED_EXECUTION_CERTIFICATE
{""certificate_status"": ""ok"", ""typed_plan_sha256"": ""987c280b6ac8c0148d0096c00cfb1d3b2f8e786cccd9975e323d4c8da991f1fd"", ""operators_used"": [""FILTER_COMPARE"", ""FILTER_NOT_EMPTY"", ""DERIVE_BIN"", ""GROUP_AGGREGATE"", ""RANK_GROUPS""], ""rows_scanned"": 26000000, ""rows_after_filter"": 1874, ""latency_ms"": 613.158, ""result"": {""interval_start"": 110.0, ""count"": 15}}",PASS,1.0,"The candidate answer identifies the same 10-second interval [110s, 120s) with 15 beats as the ground truth.",SOUND,Matches deterministic hint and is factually consistent.,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer identifies the same 10-second interval [110s, 120s) with 15 beats as the ground truth."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Matches deterministic hint and is factually consistent.""
}"
[in_memory_benchmark_run],FLASH_FUSION,8,Calculate the root mean square (RMS) of the MLII signal for record_id 106.,False,The RMS of the MLII signal for record_id 106 is 0.4088.,The result is 0.40876962488762447,False,True,"TYPED_EXECUTION_CERTIFICATE
{""certificate_status"": ""ok"", ""typed_plan_sha256"": ""4266872e7759f336a0a829a3f13984ad0fc5a7262fb824df128598712a466331"", ""operators_used"": [""FILTER_COMPARE"", ""AGGREGATE_COLUMN""], ""rows_scanned"": 26000000, ""rows_after_filter"": 650000, ""latency_ms"": 38.628, ""result"": 0.40876962488762447}",PASS,1.0,The candidate answer 0.409 matches the ground truth value within acceptable rounding tolerance.,SOUND,Matches deterministic hint and executed result.,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer 0.409 matches the ground truth value within acceptable rounding tolerance."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Matches deterministic hint and executed result.""
}"
[in_memory_benchmark_run],FLASH_FUSION,13,Filter to record_id 101 and sort its rows by time_s in ascending order. Use the first 80% of rows for training and the final 20% as the chronological holdout. Train a logistic regression model using the features MLII and V1. Predict whether an annotation is present for the first row in the holdout set.,False,Logistic regression predicts annotation '0' for the first holdout row.,The result is Logistic regression predicts present '0' for the first holdout row.,False,True,"TYPED_EXECUTION_CERTIFICATE
{""certificate_status"": ""ok"", ""typed_plan_sha256"": ""6febcf6ebac54c51e7ea5128479a72bbde183f3ee4282da1b083199c5f63da07"", ""operators_used"": [""PREDICTIVE_PIPELINE""], ""rows_scanned"": 26000000, ""rows_after_filter"": 26000000, ""latency_ms"": 484.822, ""result"": ""Logistic regression predicts present '0' for the first holdout row.""}",PASS,1.0,"The candidate answer conveys the same factual prediction ('0') for the first holdout row as the ground truth, despite minor phrasing differences.",SOUND,Matches deterministic hint and is consistent with expected task output.,"{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer conveys the same factual prediction ('0') for the first holdout row as the ground truth, despite minor phrasing differences."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Matches deterministic hint and is consistent with expected task output.""
}"
[in_memory_benchmark_run],FLASH_FUSION,14,Filter to record_id 101 and sort its rows by time_s in ascending order. Use the first 80% of rows for training and the final 20% as the chronological holdout. Train a random forest model using the features MLII and V1. Predict whether an annotation is present for the first row in the holdout set.,False,Random forest predicts annotation '0' for the first holdout row.,The result is Random forest predicts present '0' for the first holdout row.,False,True,"TYPED_EXECUTION_CERTIFICATE
{""certificate_status"": ""ok"", ""typed_plan_sha256"": ""d949a85ced7ea0c4cc5ad03bf90325e853723d5e9a99469ec2540ea606439002"", ""operators_used"": [""PREDICTIVE_PIPELINE""], ""rows_scanned"": 26000000, ""rows_after_filter"": 26000000, ""latency_ms"": 8018.086, ""result"": ""Random forest predicts present '0' for the first holdout row.""}",PASS,1.0,Candidate answer matches the ground truth in predicting annotation '0' for the first holdout row.,SOUND,Consistent with deterministic hint and executed result.,"{
  ""verdict"": ""PASS"",
  ""reason"": ""Candidate answer matches the ground truth in predicting annotation '0' for the first holdout row."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Consistent with deterministic hint and executed result.""
}"
