baseline,cache_outcome,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,execution_path,plan_validation_stage_failed,plan_source,operators_used,ff_fast_path_used,ff_fast_path_latency_s,ff_fast_path_input_tokens,ff_fast_path_output_tokens,ff_fast_path_cost_usd,ff_planner_used,ff_planner_latency_s,ff_planner_input_tokens,ff_planner_output_tokens,ff_planner_cost_usd,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,cache_lookup_latency_s,cache_grounding_latency_s,cache_validation_latency_s,cache_rejection_latency_s,typed_exec_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,cache_lookup_latency_ms,cache_grounding_latency_ms,cache_validation_latency_ms,cache_rejection_latency_ms,typed_exec_latency_ms,agent_latency_ms
FLASH_FUSION_CACHE,hit,1,1.0,llm_judge_score,1.195408821105957,0.0001183,1093,45,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_COMPARE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0006289160010055639,1.1625213749994145,0.002630708999276976,0.0,0.004208541999105364,0.0,0.0,0.0,0.0,0.0,0.6289160010055639,1162.5213749994145,2.630708999276976,0.0,4.208541999105364,0.0
FLASH_FUSION_CACHE,hit,2,1.0,llm_judge_score,1.2607009410858154,0.0001173,1073,50,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_NOT_EMPTY,FILTER_COMPARE,COUNT_DISTINCT",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0006036249997123377,0.9369186670010095,0.00036866700065729674,0.0,0.3225345000009838,0.0,0.0,0.0,0.0,0.0,0.6036249997123377,936.9186670010095,0.36866700065729674,0.0,322.5345000009838,0.0
FLASH_FUSION_CACHE,hit,3,1.0,llm_judge_score,1.1879310607910156,0.0001231,1103,64,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_COMPARE,FILTER_COMPARE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0005692089998774463,1.1811490839991166,0.0006148329994175583,0.0,0.005304958000124316,0.0,0.0,0.0,0.0,0.0,0.5692089998774463,1181.1490839991166,0.6148329994175583,0.0,5.304958000124316,0.0
FLASH_FUSION_CACHE,hit,4,1.0,llm_judge_score,0.8981537818908691,0.0001181,1099,41,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"GROUP_AGGREGATE,RANK_GROUPS",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.000558624999030144,0.8776697499997681,0.0004142910020163981,0.0,0.019263165999291232,0.0,0.0,0.0,0.0,0.0,0.558624999030144,877.6697499997681,0.4142910020163981,0.0,19.263165999291232,0.0
FLASH_FUSION_CACHE,miss,5,1.0,llm_judge_score,5.709765911102295,0.004646655,3816,258,True,False,N/A,"cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_NOT_EMPTY,DERIVE_VECTOR_MAGNITUDE,SPLIT_BY_VALUES,SPLIT_BY_VALUES,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",False,0.0,0,0,0.0,True,5.277550935745239,3816,258,0.004646655,0.0,0.0,0.0,5.2775678634643555,0.0036680000011983793,0.0,0.0,0.0,0.42769289016723633,0.0,0.0,0.0,0.0,5277.5678634643555,3.6680000011983793,0.0,0.0,0.0,427.6928901672363,0.0
FLASH_FUSION_CACHE,miss,6,1.0,llm_judge_score,6.613738059997559,0.00970203,8431,401,True,False,N/A,"cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_NOT_EMPTY,DERIVE_DURATION_SECONDS,PARALLEL_AGGREGATE,DERIVE_BINARY,FILTER_COMPARE,RANK_ROWS",False,0.0,0,0,0.0,True,5.569628000259399,8431,401,0.00970203,0.0,0.0,0.0,5.569655895233154,0.0011957920014538104,0.0,0.0,0.0,1.0417370796203613,0.0,0.0,0.0,0.0,5569.655895233154,1.1957920014538104,0.0,0.0,0.0,1041.7370796203613,0.0
FLASH_FUSION_CACHE,miss,7,1.0,llm_judge_score,6.421924829483032,0.00145471,4945,341,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_COMPARE,FILTER_COMPARE,DERIVE_VECTOR_MAGNITUDE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,True,4.027727127075195,3804,188,0.00131001,0.0,0.0,0.0,4.027752876281738,0.0005830840000271564,2.3517686249997496,0.0002520000016374979,0.0,0.04041481018066406,0.0,0.0,0.0,0.0,4027.7528762817383,0.5830840000271564,2351.7686249997496,0.2520000016374979,0.0,40.41481018066406,0.0
FLASH_FUSION_CACHE,miss,8,1.0,llm_judge_score,6.5040881633758545,0.00152757,4972,352,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_NOT_EMPTY,SPLIT_BY_VALUES,SPLIT_BY_VALUES,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",False,0.0,0,0,0.0,True,4.247473239898682,3806,206,0.00138177,0.0,0.0,0.0,4.24750018119812,0.000587124999583466,1.9602463339997485,0.00012075099948560819,0.0,0.2932102680206299,0.0,0.0,0.0,0.0,4247.50018119812,0.587124999583466,1960.2463339997485,0.12075099948560819,0.0,293.2102680206299,0.0
FLASH_FUSION_CACHE,hit,9,1.0,guardrail_skip_expected_rejection,0.7607159614562988,3.76e-05,322,27,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,exact_query_cache_out_of_scope,,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0005232089988567168,0.0,0.0,0.7600930829994468,0.0,0.0,0.0,0.0,0.0,0.0,0.5232089988567168,0.0,0.0,760.0930829994468,0.0,0.0
FLASH_FUSION_CACHE,hit,10,1.0,guardrail_skip_expected_rejection,0.7538912296295166,0.0001026,323,19,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,exact_query_cache_out_of_scope,,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0005477079994307132,0.0,0.0,0.7532481669986737,0.0,0.0,0.0,0.0,0.0,0.0,0.5477079994307132,0.0,0.0,753.2481669986737,0.0,0.0
FLASH_FUSION_CACHE,hit,11,1.0,guardrail_skip_expected_rejection,0.6089341640472412,3.64e-05,322,21,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,exact_query_cache_out_of_scope,,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0006382079991453793,0.0,0.0,0.6081603330003418,0.0,0.0,0.0,0.0,0.0,0.0,0.6382079991453793,0.0,0.0,608.1603330003418,0.0,0.0
FLASH_FUSION_CACHE,hit,12,1.0,guardrail_skip_expected_rejection,1.019012212753296,3.94e-05,326,34,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,exact_query_cache_out_of_scope,,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0005584999998973217,0.0,0.0,1.0181825829986337,0.0,0.0,0.0,0.0,0.0,0.0,0.5584999998973217,0.0,0.0,1018.1825829986337,0.0,0.0
FLASH_FUSION_CACHE,hit,13,1.0,llm_judge_score,5.494825839996338,0.0001318,1154,82,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,PREDICTIVE_PIPELINE,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0005997499993100064,1.2070915830008744,0.00021083399951749016,0.0,4.286578459001248,0.0,0.0,0.0,0.0,0.0,0.5997499993100064,1207.0915830008744,0.21083399951749016,0.0,4286.578459001248,0.0
FLASH_FUSION_CACHE,hit,14,1.0,llm_judge_score,33.35153293609619,0.0001318,1154,82,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,PREDICTIVE_PIPELINE,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0006398339992301771,1.1930108750002546,0.00022175000049173832,0.0,32.15581504199872,0.0,0.0,0.0,0.0,0.0,0.6398339992301771,1193.0108750002546,0.22175000049173832,0.0,32155.81504199872,0.0
FLASH_FUSION_CACHE,hit,15,1.0,llm_judge_score,3.5840649604797363,0.0001324,1158,83,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,PREDICTIVE_PIPELINE,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.001809167000828893,1.560802624999269,0.00037258400152495597,0.0,2.0207182920003106,0.0,0.0,0.0,0.0,0.0,1.809167000828893,1560.802624999269,0.37258400152495597,0.0,2020.7182920003106,0.0
