run_id,baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,agent_latency_ms
1,LLMSENSE_PAPER,1,0.0,llm_judge_score,57.616106033325195,0.06733692000000001,113963,125,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,2,0.0,llm_judge_score,43.507452964782715,0.06730794000000001,113942,104,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,3,0.0,llm_judge_score,45.38022971153259,0.06736809999999999,113973,157,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,4,0.0,llm_judge_score,51.03661799430847,0.06731387999999999,113936,116,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,5,0.0,llm_judge_score,48.31013822555542,0.06739210000000001,114011,159,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,6,0.0,llm_judge_score,58.444459676742554,0.06736982,113996,142,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,7,0.0,llm_judge_score,24.035640954971313,0.06737655999999999,113986,158,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,8,0.0,llm_judge_score,48.493255853652954,0.06738406,113988,166,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,9,1.0,llm_judge_score,43.815232038497925,0.06735292,113962,146,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,10,1.0,llm_judge_score,14.994996070861816,0.06742685,114015,200,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,11,1.0,llm_judge_score,11.999849081039429,0.06739195999999999,113988,176,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,12,1.0,llm_judge_score,88.84815001487732,0.06796465,114407,588,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,1,0.0,llm_judge_score,49.87428903579712,0.06740083000000001,113995,182,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,2,0.0,llm_judge_score,46.66835880279541,0.06737969999999999,113994,156,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,3,0.0,llm_judge_score,15.271106243133545,0.06735844,113966,150,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,4,0.0,llm_judge_score,36.889254093170166,0.06737756,113981,163,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,5,0.0,llm_judge_score,18.012459993362427,0.06733319,113954,127,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,6,0.0,llm_judge_score,21.798432111740112,0.06759026,114142,312,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,7,0.0,llm_judge_score,43.90080809593201,0.0673714,113996,144,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,8,0.0,llm_judge_score,10.303768873214722,0.06741123,114022,175,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,9,1.0,llm_judge_score,45.455442905426025,0.06737536000000001,113992,152,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,10,1.0,llm_judge_score,8.708940029144287,0.06731231,113932,117,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,11,1.0,llm_judge_score,49.2160530090332,0.06731527,113933,120,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,12,1.0,llm_judge_score,6.323949098587036,0.06732019,113940,121,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,1,0.0,llm_judge_score,43.900038957595825,0.06733241999999999,113946,132,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,2,1.0,llm_judge_score,37.963338136672974,0.06734286999999999,113953,140,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,3,0.0,llm_judge_score,4.093024015426636,0.06728175,113911,94,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,4,0.0,llm_judge_score,5.332279920578003,0.06732803999999999,113960,116,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,5,0.0,llm_judge_score,3.3561558723449707,0.06729238,113925,97,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,6,0.0,llm_judge_score,4.8559441566467285,0.06728666,113922,92,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,7,0.0,llm_judge_score,7.553781032562256,0.06734163,113975,122,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,8,0.0,llm_judge_score,5.559484004974365,0.06731348,113938,114,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,9,1.0,llm_judge_score,4.9792351722717285,0.06731487,113935,118,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,10,1.0,llm_judge_score,5.45793604850769,0.06731427999999999,113934,118,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,11,1.0,llm_judge_score,5.737663984298706,0.06730561,113926,113,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,12,1.0,llm_judge_score,93.89648079872131,0.06734227,113956,137,False,False,N/A,"S_summarize,R_reason",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
