query_id,query_text,gt_expected_rejection,rebuilt_expected_rejection,expected_rejection_match,semantic_similarity,gt_reference_answer,rebuilt_reference_answer,sanity_flag
1,What is the minimum MLII value recorded for record_id 101?,False,,,,Minimum MLII for record_id 101 is -3.1750.,,no_dataset_sanity
2,What is the total recording duration in seconds (maximum time_s) for record_id 234?,False,,,,Total recording duration for record_id 234 is nan seconds.,,no_dataset_sanity
3,How many samples in record_id 106 have an MLII value greater than 0?,False,,,,record_id 106 has 111769 samples with MLII > 0.,,no_dataset_sanity
4,What is the timestamp (time_s) of the very last annotated beat in record_id 221?,False,,,,The last annotated beat in record_id 221 occurs at time_s = nan.,,no_dataset_sanity
5,Estimate the average heart rate in beats per minute for record_id 208 based on its total number of annotations and its maximum time_s.,False,,,,"record_id 208 has 3040 annotated beats over 1805.5528 seconds, giving an estimated average heart rate of 101.02 BPM.",,no_dataset_sanity
6,Which record_id exhibits the largest peak-to-peak MLII amplitude (difference between maximum and minimum MLII)?,False,,,,record_id 116 has the largest peak-to-peak MLII amplitude at 10.2350.,,no_dataset_sanity
7,"For record_id 101, which 10-second interval contains the highest number of annotated beats?",False,,,,"The 10-second interval [110s, 120s) contains the highest number of annotated beats for record_id 101 with 15 beats.",,no_dataset_sanity
8,Calculate the root mean square (RMS) of the MLII signal for record_id 106.,False,,,,The RMS of the MLII signal for record_id 106 is 0.4088.,,no_dataset_sanity
9,Did the patient corresponding to record_id 101 experience a fatal cardiac event within a year?,True,,,,Reject: patient outcome and mortality data are unavailable in this ECG dataset.,,no_dataset_sanity
10,Is there a statistical correlation between patient BMI and their maximum MLII amplitude?,True,,,,Reject: BMI and anthropometric metadata are unavailable in this ECG dataset.,,no_dataset_sanity
11,Which patients in this dataset have a recorded family history of atrial fibrillation?,True,,,,Reject: family medical history is unavailable in this ECG dataset.,,no_dataset_sanity
12,Estimate the patient's blood pressure during the time of the recording for record_id 105.,True,,,,Reject: hemodynamic variables such as blood pressure are unavailable in this ECG dataset.,,no_dataset_sanity
