algorithm,dataset,query_id,version,decision,predicted_query_id,correct_match,authorized_hit,false_positive_reuse,abstained,total_match_ms,error
hybrid,bus,1,v1,exact_hit,1,True,True,False,False,0.030332997994264588,
fuzzy,bus,1,v1,exact_hit,1,True,True,False,False,0.011125001037726179,
hybrid,bus,1,v2,hybrid_hit,1,True,True,False,False,11.124124997877516,
fuzzy,bus,1,v2,unsafe_ablation_hit,1,True,True,False,False,2.635000000736909,
hybrid,bus,1,v3,hybrid_hit,1,True,True,False,False,6.81970799996634,
fuzzy,bus,1,v3,unsafe_ablation_hit,1,True,True,False,False,2.5094170014199335,
hybrid,bus,2,v1,exact_hit,2,True,True,False,False,0.010874999134102836,
fuzzy,bus,2,v1,exact_hit,2,True,True,False,False,0.007375001587206498,
hybrid,bus,2,v2,hybrid_hit,2,True,True,False,False,6.114707997767255,
fuzzy,bus,2,v2,unsafe_ablation_hit,2,True,True,False,False,2.5349589996039867,
hybrid,bus,2,v3,hybrid_hit,2,True,True,False,False,6.272334001550917,
fuzzy,bus,2,v3,unsafe_ablation_hit,2,True,True,False,False,2.38224999702652,
hybrid,bus,3,v1,exact_hit,3,True,True,False,False,0.00904199987417087,
fuzzy,bus,3,v1,exact_hit,3,True,True,False,False,0.006165999366203323,
hybrid,bus,3,v2,hybrid_hit,3,True,True,False,False,6.645500001468463,
fuzzy,bus,3,v2,unsafe_ablation_hit,3,True,True,False,False,2.755916997557506,
hybrid,bus,3,v3,hybrid_hit,3,True,True,False,False,6.897582999954466,
fuzzy,bus,3,v3,unsafe_ablation_hit,3,True,True,False,False,3.0008749999979045,
hybrid,bus,4,v1,exact_hit,4,True,True,False,False,0.01049999991664663,
fuzzy,bus,4,v1,exact_hit,4,True,True,False,False,0.007083999662427232,
hybrid,bus,4,v2,hybrid_hit,4,True,True,False,False,6.436458999814931,
fuzzy,bus,4,v2,unsafe_ablation_hit,4,True,True,False,False,3.3072910009650514,
hybrid,bus,4,v3,hybrid_hit,4,True,True,False,False,6.558334000146715,
fuzzy,bus,4,v3,unsafe_ablation_hit,4,True,True,False,False,3.2214580023719463,
hybrid,bus,5,v1,exact_hit,5,True,True,False,False,0.009208997653331608,
fuzzy,bus,5,v1,exact_hit,5,True,True,False,False,0.00654199902783148,
hybrid,bus,5,v2,hybrid_hit,5,True,True,False,False,7.3514169998816215,
fuzzy,bus,5,v2,unsafe_ablation_hit,5,True,True,False,False,3.3580410017748363,
hybrid,bus,5,v3,exact_hit,5,True,True,False,False,0.008833998435875401,
fuzzy,bus,5,v3,exact_hit,5,True,True,False,False,0.00687500141793862,
hybrid,bus,6,v1,exact_hit,6,True,True,False,False,0.010957999620586634,
fuzzy,bus,6,v1,exact_hit,6,True,True,False,False,0.00729100065655075,
hybrid,bus,6,v2,hybrid_hit,6,True,True,False,False,7.241833001899067,
fuzzy,bus,6,v2,unsafe_ablation_hit,6,True,True,False,False,3.717083000083221,
hybrid,bus,6,v3,hybrid_hit,6,True,True,False,False,7.4259590001020115,
fuzzy,bus,6,v3,unsafe_ablation_hit,6,True,True,False,False,3.7923750023765024,
hybrid,bus,7,v1,exact_hit,7,True,True,False,False,0.010332998499507084,
fuzzy,bus,7,v1,exact_hit,7,True,True,False,False,0.006624999514315277,
hybrid,bus,7,v2,hybrid_hit,7,True,True,False,False,6.810917002439965,
fuzzy,bus,7,v2,unsafe_ablation_hit,7,True,True,False,False,3.2824999980221037,
hybrid,bus,7,v3,hybrid_hit,7,True,True,False,False,6.797915997594828,
fuzzy,bus,7,v3,unsafe_ablation_hit,7,True,True,False,False,3.2632920010655653,
hybrid,bus,8,v1,exact_hit,8,True,True,False,False,0.01133399928221479,
fuzzy,bus,8,v1,exact_hit,8,True,True,False,False,0.007333997928071767,
hybrid,bus,8,v2,exact_hit,8,True,True,False,False,0.00979100150289014,
fuzzy,bus,8,v2,exact_hit,8,True,True,False,False,0.006666999979643151,
hybrid,bus,8,v3,hybrid_hit,8,True,True,False,False,7.141165999200894,
fuzzy,bus,8,v3,unsafe_ablation_hit,8,True,True,False,False,3.315500001917826,
hybrid,bus,13,v1,exact_hit,13,True,True,False,False,0.009625000529922545,
fuzzy,bus,13,v1,exact_hit,13,True,True,False,False,0.006584003131138161,
hybrid,bus,13,v2,hybrid_hit,13,True,True,False,False,9.652791999542387,
fuzzy,bus,13,v2,unsafe_ablation_hit,13,True,True,False,False,6.830917001934722,
hybrid,bus,13,v3,hybrid_hit,13,True,True,False,False,9.317374999227468,
fuzzy,bus,13,v3,complete_miss,14,False,False,False,True,7.266832999448525,
hybrid,bus,14,v1,exact_hit,14,True,True,False,False,0.011291998816886917,
fuzzy,bus,14,v1,exact_hit,14,True,True,False,False,0.006750000466126949,
hybrid,bus,14,v2,hybrid_hit,14,True,True,False,False,9.40745800107834,
fuzzy,bus,14,v2,unsafe_ablation_hit,14,True,True,False,False,6.891458000609418,
hybrid,bus,14,v3,hybrid_hit,14,True,True,False,False,9.696416000224417,
fuzzy,bus,14,v3,ambiguous_multi_candidate,14,True,False,False,False,6.8672089983010665,
hybrid,bus,15,v1,exact_hit,15,True,True,False,False,0.011416999768698588,
fuzzy,bus,15,v1,exact_hit,15,True,True,False,False,0.006624999514315277,
hybrid,bus,15,v2,hybrid_hit,15,True,True,False,False,9.548583999276161,
fuzzy,bus,15,v2,unsafe_ablation_hit,15,True,True,False,False,6.782500000554137,
hybrid,bus,15,v3,hybrid_hit,15,True,True,False,False,9.909374999551801,
fuzzy,bus,15,v3,unsafe_ablation_hit,15,True,True,False,False,7.251833001646446,
hybrid,bus,16,v1,exact_hit,16,True,True,False,False,0.009415998647455126,
fuzzy,bus,16,v1,exact_hit,16,True,True,False,False,0.006250000296859071,
hybrid,bus,16,v2,hybrid_hit,16,True,True,False,False,9.73599999997532,
fuzzy,bus,16,v2,unsafe_ablation_hit,16,True,True,False,False,6.855791998532368,
hybrid,bus,16,v3,hybrid_hit,16,True,True,False,False,9.589499997673556,
fuzzy,bus,16,v3,complete_miss,14,False,False,False,True,7.086417001119116,
hybrid,wisdm,1,v1,exact_hit,1,True,True,False,False,0.011000000085914508,
fuzzy,wisdm,1,v1,exact_hit,1,True,True,False,False,0.007208000170066953,
hybrid,wisdm,1,v2,hybrid_hit,1,True,True,False,False,6.490040999779012,
fuzzy,wisdm,1,v2,unsafe_ablation_hit,1,True,True,False,False,2.3487919970648363,
hybrid,wisdm,1,v3,hybrid_hit,1,True,True,False,False,6.0330409978632815,
fuzzy,wisdm,1,v3,complete_miss,1,True,False,False,True,2.2736669998266734,
hybrid,wisdm,2,v1,exact_hit,2,True,True,False,False,0.008874998457031325,
fuzzy,wisdm,2,v1,exact_hit,2,True,True,False,False,0.006250000296859071,
hybrid,wisdm,2,v2,hybrid_hit,2,True,True,False,False,6.109707999712555,
fuzzy,wisdm,2,v2,unsafe_ablation_hit,2,True,True,False,False,2.3644579996471293,
hybrid,wisdm,2,v3,hybrid_hit,2,True,True,False,False,6.363208998664049,
fuzzy,wisdm,2,v3,unsafe_ablation_hit,2,True,True,False,False,2.4384170028497465,
hybrid,wisdm,3,v1,exact_hit,3,True,True,False,False,0.010832998668774962,
fuzzy,wisdm,3,v1,exact_hit,3,True,True,False,False,0.0069160014390945435,
hybrid,wisdm,3,v2,hybrid_hit,3,True,True,False,False,6.820083002821775,
fuzzy,wisdm,3,v2,unsafe_ablation_hit,3,True,True,False,False,2.8221249995112885,
hybrid,wisdm,3,v3,hybrid_hit,3,True,True,False,False,6.760624997696141,
fuzzy,wisdm,3,v3,unsafe_ablation_hit,3,True,True,False,False,2.7382080006645992,
hybrid,wisdm,4,v1,exact_hit,4,True,True,False,False,0.010124997061211616,
