source_file,baseline,query_id,query_text,expected_rejection,gt_reference_answer,candidate_answer,candidate_rejected,candidate_executed,candidate_code,llm_verdict,llm_score,llm_reason,gt_sanity,gt_sanity_note,llm_raw
[in_memory_accuracysize_run],FLASH_FUSION,1,What is the maximum accel_variance observed in this dataset?,False,Maximum accel_variance is 5.8690.,The maximum accel_variance observed in this dataset is 5.869.,False,True,result = df['accel_variance'].max(),PASS,1.0,Candidate answer matches ground truth,SOUND,Maximum accel_variance value is provided,"```json
{
  ""verdict"": ""PASS"",
  ""reason"": ""Candidate answer matches ground truth"",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Maximum accel_variance value is provided""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,2,What is the average accel_mean across all recorded samples?,False,Average accel_mean across all samples is 9.2854.,The average accel_mean across all recorded samples is 9.29.,False,True,result = df['accel_mean'].mean(),PASS,1.0,The candidate answer is factually correct with minor rounding difference.,SOUND,Average accel_mean value is provided.,"```json
{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer is factually correct with minor rounding difference."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Average accel_mean value is provided.""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,3,At what exact timestamp was the highest accel_stats_z_p99 recorded?,False,Highest accel_stats_z_p99 occurs at 2025-06-06 16:02:01 with value 16.7020.,The highest `accel_stats_z_p99` was recorded at timestamp: 2025-06-06 16:02:01.,False,True,result = df[df['accel_stats_z_p99'].notna()].loc[df[df['accel_stats_z_p99'].notna()]['accel_stats_z_p99'].idxmax()]['timestamp'],PASS,1.0,The candidate answer matches the ground truth timestamp.,SOUND,The ground truth provides a specific timestamp.,"```json
{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer matches the ground truth timestamp."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""The ground truth provides a specific timestamp.""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,4,How many data samples show an accel_variance strictly greater than 0.20?,False,Samples with accel_variance > 0.20: 190.,The number of data samples showing an accel_variance strictly greater than 0.20 is equal to 190.,False,True,result = df[df['accel_variance'] > 0.20].shape[0],PASS,1.0,Candidate answer matches ground truth,SOUND,Clear numeric value provided,"```json
{
  ""verdict"": ""PASS"",
  ""reason"": ""Candidate answer matches ground truth"",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Clear numeric value provided""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,5,"Is the northern half of the route (latitude above median) rougher than the southern half, based on average acceleration variance?",False,"Median latitude split is 33.776404. North-half mean accel_variance is 0.4690, south-half mean is 0.1503; the northern half is rougher by 0.3188.","Yes, the northern half of the route is rougher than the southern half.",False,True,"# Calculate the median latitude
median_latitude = df['latitude'].median()

# Filter the DataFrame to include only rows where latitude is greater than the median of latitude
northern_half = df[df['latitude'] > median_latitude]

# Filter the DataFrame to include only rows where latitude is less than the median of latitude
southern_half = df[df['latitude'] < median_latitude]

# Calculate the average of accel_variance for the northern half and the southern half of the route
northern_avg_accel_variance = northern_half['accel_variance'].mean()
southern_avg_accel_variance = southern_half['accel_variance'].mean()

# Compare the average acceleration variance of the northern half and the southern half
if northern_avg_accel_variance > southern_avg_accel_variance:
    result = ""Yes, the northern half of the route is rougher than the southern half.""
elif northern_avg_accel_variance < southern_avg_accel_variance:
    result = ""No, the southern half of the route is rougher than the northern half.""
else:
    result = ""The northern and southern halves of the route have the same average acceleration variance.""",PASS,1.0,The candidate answer correctly states that the northern half is rougher than the southern half.,SOUND,Ground truth provides specific values to support the conclusion.,"```json
{
  ""verdict"": ""PASS"",
  ""reason"": ""The candidate answer correctly states that the northern half is rougher than the southern half."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Ground truth provides specific values to support the conclusion.""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,6,"Which location (latitude, longitude) recorded the largest difference between the 99th and 1st percentile of the z-axis acceleration?",False,"Largest vertical shock (z_p99 - z_p1) is 11.1860 at (33.776932, -84.391906), timestamp 2025-06-06 16:02:01.","The location (latitude, longitude) that recorded the largest difference between the 99th and 1st percentile of the z-axis acceleration is (33.776932, -84.391906).",False,True,"result = df.dropna(subset=['latitude', 'longitude', 'accel_stats_z_p99', 'accel_stats_z_p1']).assign(z_axis_diff=lambda x: x['accel_stats_z_p99'] - x['accel_stats_z_p1']).loc[lambda x: x['z_axis_diff'].idxmax()][['latitude', 'longitude', 'z_axis_diff']].to_dict()",FAIL,0.0,Candidate answer lacks the difference value between the 99th and 1st percentile of the z-axis acceleration.,SOUND,Ground truth provides a specific difference value of 11.186.,"```json
{
  ""verdict"": ""FAIL"",
  ""reason"": ""Candidate answer lacks the difference value between the 99th and 1st percentile of the z-axis acceleration."",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Ground truth provides a specific difference value of 11.186.""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,7,"Calculate the average overall magnitude of peak acceleration using the 99th percentiles of the X, Y, and Z axes.",False,Average 3D peak acceleration magnitude [sqrt(x_p99^2 + y_p99^2 + z_p99^2)] across all samples is 11.3521.,The average overall magnitude of peak acceleration is 11.35.,False,True,"result = df.dropna(subset=['accel_stats_x_p99', 'accel_stats_y_p99', 'accel_stats_z_p99']).assign(overall_magnitude=lambda x: (x['accel_stats_x_p99']**2 + x['accel_stats_y_p99']**2 + x['accel_stats_z_p99']**2)**0.5).overall_magnitude.mean()",PASS,1.0,Candidate answer is factually correct,SOUND,Ground truth value is provided,"```json
{
  ""verdict"": ""PASS"",
  ""reason"": ""Candidate answer is factually correct"",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Ground truth value is provided""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,8,"If we group the data into 1-minute intervals, which time window experienced the most sustained turbulence?",False,The 1-minute window starting at 2025-06-06 16:01:00 had the highest total accel_variance of 88.0350.,"The time window that experienced the most sustained turbulence was from 2025-06-06 16:01:00, with a maximum sustained turbulence value of 5.869.",False,True,"# Ensure timestamp is in datetime format
df['timestamp'] = pd.to_datetime(df['timestamp'])

# Set the desired date range (replace with your desired range)
start_date = '2025-06-06 00:00:00'
end_date = '2025-06-06 23:59:59'

# Filter the data to only include rows where the timestamp is within the desired date range
df_filtered = df[(df['timestamp'] >= start_date) & (df['timestamp'] <= end_date)]

# Calculate the mean of accel_variance over each 1-minute time window of timestamp
df_windowed = df_filtered.set_index('timestamp').resample('1min')['accel_variance'].mean().reset_index()

# Calculate the maximum mean of accel_variance over each 1-minute time window
max_sustained_turbulence = df_windowed['accel_variance'].max()
max_sustained_turbulence_timestamp = df_windowed.loc[df_windowed['accel_variance'].idxmax()]['timestamp']

# Create a dictionary with the result
result = {'timestamp': max_sustained_turbulence_timestamp, 'max_sustained_turbulence': max_sustained_turbulence}",FAIL,0.0,Candidate answer does not match ground truth value for maximum sustained turbulence,SOUND,Ground truth provides a specific time window and total accel_variance value,"```json
{
  ""verdict"": ""FAIL"",
  ""reason"": ""Candidate answer does not match ground truth value for maximum sustained turbulence"",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Ground truth provides a specific time window and total accel_variance value""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,9,How does passenger occupancy correlate with road roughness during this trip?,True,Reject: passenger occupancy data is unavailable in this bus dataset.,"The Pearson correlation coefficient between passenger occupancy (proxied by accel_mean) and road roughness (proxied by accel_variance) during the trip is approximately 0.077, indicating a weak positive correlation.",False,True,"result = df[(df['timestamp'] >= df['timestamp'].min()) & (df['timestamp'] <= df['timestamp'].max())].corr(numeric_only=True).loc['accel_mean', 'accel_variance']",FAIL,0.0,Candidate answer does not reject the question due to unavailable data,SOUND,Passenger occupancy data is indeed unavailable,"```json
{
  ""verdict"": ""FAIL"",
  ""reason"": ""Candidate answer does not reject the question due to unavailable data"",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Passenger occupancy data is indeed unavailable""
}
```"
[in_memory_accuracysize_run],FLASH_FUSION,11,Which bus driver generated the smoothest driving profile?,True,Reject: driver identity metadata is unavailable in this bus dataset.,"The bus driver who generated the smoothest driving profile is located at latitude 33.77317 and longitude -84.396727, with an acceleration variance of 0.019.",False,True,"# Filter the `accel_variance` column to find the minimum acceleration variance
min_accel_variance = df['accel_variance'].min()

# Filter the `df` DataFrame to find the rows where `accel_variance` equals the minimum value
smoothest_drivers = df[df['accel_variance'] == min_accel_variance]

# Rank the bus drivers by their acceleration variance in ascending order
smoothest_driver = smoothest_drivers.iloc[0]

# Create a dictionary containing the `latitude` and `longitude` of the bus driver with the smoothest driving profile, along with their corresponding acceleration variance value
result = {
    'latitude': smoothest_driver['latitude'],
    'longitude': smoothest_driver['longitude'],
    'accel_variance': smoothest_driver['accel_variance']
}",FAIL,0.0,Candidate failed to reject the question due to lack of driver identity metadata,SOUND,Driver identity metadata is indeed unavailable,"```json
{
  ""verdict"": ""FAIL"",
  ""reason"": ""Candidate failed to reject the question due to lack of driver identity metadata"",
  ""ground_truth_sanity"": ""SOUND"",
  ""ground_truth_note"": ""Driver identity metadata is indeed unavailable""
}
```"
