run_id,baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run
1,FLASH_FUSION,1,1.0,llm_judge_score,3.367496967315674,0.00036707,507,86,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,2,1.0,llm_judge_score,3.6374218463897705,0.00038145,522,93,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,3,1.0,llm_judge_score,4.583401918411255,0.00057976,751,173,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,4,1.0,llm_judge_score,3.314810276031494,0.00051442,659,159,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,5,1.0,llm_judge_score,4.080485105514526,0.0007355199999999,936,232,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,6,1.0,llm_judge_score,4.39339804649353,0.00078499,977,264,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,7,1.0,llm_judge_score,4.7886741161346436,0.0008183799999999,972,310,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,8,0.0,llm_judge_score,5.270750999450684,0.00108658,1211,471,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,2.2660930156707764,0.0004453,341,309,False,True,,"S1,S2,S3,guardrail"
1,FLASH_FUSION,10,1.0,guardrail_skip_expected_rejection,2.748152017593384,0.0004750899999999,354,337,False,True,,"S1,S2,S3,guardrail"
1,FLASH_FUSION,11,1.0,guardrail_skip_expected_rejection,2.5389492511749268,0.0004122,309,291,False,True,,"S1,S2,S3,guardrail"
1,FLASH_FUSION,12,1.0,guardrail_skip_expected_rejection,2.9225099086761475,0.00056399,423,398,False,True,,"S1,S2,S3,guardrail"
2,FLASH_FUSION,1,1.0,llm_judge_score,3.58406925201416,0.00033379,468,73,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,2,1.0,llm_judge_score,3.4804911613464355,0.0003806599999999,522,92,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,3,1.0,llm_judge_score,3.701362848281861,0.0004340299999999,583,114,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,4,1.0,llm_judge_score,4.084140062332153,0.00050848,665,147,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,5,1.0,llm_judge_score,4.669708013534546,0.00096111,1155,354,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,6,1.0,llm_judge_score,5.5456531047821045,0.0007550599999999,941,253,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,7,1.0,llm_judge_score,6.439450263977051,0.0007782399999999,991,245,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,8,0.0,llm_judge_score,5.405244827270508,0.00105262,1207,431,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,2.744439125061035,0.0005344099999999,405,374,False,True,,"S1,S2,S3,guardrail"
2,FLASH_FUSION,10,1.0,guardrail_skip_expected_rejection,2.889923095703125,0.00046799,350,331,False,True,,"S1,S2,S3,guardrail"
2,FLASH_FUSION,11,1.0,guardrail_skip_expected_rejection,3.1961488723754883,0.00049796,370,354,False,True,,"S1,S2,S3,guardrail"
2,FLASH_FUSION,12,1.0,guardrail_skip_expected_rejection,3.2548296451568604,0.00056516,429,395,False,True,,"S1,S2,S3,guardrail"
3,FLASH_FUSION,1,1.0,llm_judge_score,3.5561163425445557,0.00034088,476,76,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,2,1.0,llm_judge_score,3.526771068572998,0.00038145,522,93,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,3,1.0,llm_judge_score,4.53400182723999,0.00041729,564,107,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,4,1.0,llm_judge_score,4.791985034942627,0.00049174,646,140,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,5,1.0,llm_judge_score,4.896867036819458,0.0008007,1013,257,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,6,1.0,llm_judge_score,4.1855597496032715,0.0007516799999999,950,242,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,7,1.0,llm_judge_score,5.402390003204346,0.0008007,1013,257,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,8,0.0,llm_judge_score,8.49543309211731,0.0010802099999999,1231,448,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,2.74019193649292,0.00041671,322,287,False,True,,"S1,S2,S3,guardrail"
3,FLASH_FUSION,10,1.0,guardrail_skip_expected_rejection,2.029088973999023,0.00047923,357,340,False,True,,"S1,S2,S3,guardrail"
3,FLASH_FUSION,11,1.0,guardrail_skip_expected_rejection,2.3438892364501953,0.00038184,287,269,False,True,,"S1,S2,S3,guardrail"
3,FLASH_FUSION,12,1.0,guardrail_skip_expected_rejection,3.024445056915283,0.00059237,447,416,False,True,,"S1,S2,S3,guardrail"
