query_id,query_text,gt_expected_rejection,rebuilt_expected_rejection,expected_rejection_match,semantic_similarity,gt_reference_answer,rebuilt_reference_answer,sanity_flag
1,What is the maximum accel_variance observed in this dataset?,False,False,True,1.0,Maximum accel_variance is 5.8690.,Maximum accel_variance is 5.8690.,ok
2,What is the average accel_mean across all recorded samples?,False,False,True,1.0,Average accel_mean across all samples is 9.2834.,Average accel_mean across all samples is 9.2834.,ok
3,List all timestamps where accel_stats_z_p99 reaches its maximum value across the dataset.,False,False,True,1.0,"Maximum accel_stats_z_p99 is 16.7020. Timestamps with this value: ['2025-06-06 16:01:13', '2025-06-06 16:01:16', '2025-06-06 16:01:19', '2025-06-06 16:01:22', '2025-06-06 16:01:25', '2025-06-06 16:01:28', '2025-06-06 16:01:31', '2025-06-06 16:01:34', '2025-06-06 16:01:40', '2025-06-06 16:01:43', '2025-06-06 16:01:46', '2025-06-06 16:01:49', '2025-06-06 16:01:52', '2025-06-06 16:01:55', '2025-06-06 16:01:58', '2025-06-06 16:02:01'].","Maximum accel_stats_z_p99 is 16.7020. Timestamps with this value: ['2025-06-06 16:01:13', '2025-06-06 16:01:16', '2025-06-06 16:01:19', '2025-06-06 16:01:22', '2025-06-06 16:01:25', '2025-06-06 16:01:28', '2025-06-06 16:01:31', '2025-06-06 16:01:34', '2025-06-06 16:01:40', '2025-06-06 16:01:43', '2025-06-06 16:01:46', '2025-06-06 16:01:49', '2025-06-06 16:01:52', '2025-06-06 16:01:55', '2025-06-06 16:01:58', '2025-06-06 16:02:01'].",ok
4,How many data samples show an accel_variance strictly greater than 0.20?,False,False,True,1.0,Samples with accel_variance > 0.20: 352.,Samples with accel_variance > 0.20: 352.,ok
5,"Is the northern half of the route (latitude above median) rougher than the southern half, based on average acceleration variance?",False,False,True,1.0,"Median latitude split is 33.776676. North-half mean accel_variance is 0.3699, south-half mean is 0.1631; the northern half is rougher by 0.2068.","Median latitude split is 33.776676. North-half mean accel_variance is 0.3699, south-half mean is 0.1631; the northern half is rougher by 0.2068.",ok
6,"Which location (latitude, longitude) recorded the largest difference between the 99th and 1st percentile of the z-axis acceleration?",False,False,True,1.0,"Largest vertical shock (z_p99 - z_p1) is 11.1860 at (33.776765, -84.389963), timestamp 2025-06-06 16:01:13.","Largest vertical shock (z_p99 - z_p1) is 11.1860 at (33.776765, -84.389963), timestamp 2025-06-06 16:01:13.",ok
7,"Calculate the average overall magnitude of peak acceleration using the 99th percentiles of the X, Y, and Z axes.",False,False,True,1.0,Average 3D peak acceleration magnitude [sqrt(x_p99^2 + y_p99^2 + z_p99^2)] across all samples is 11.4585.,Average 3D peak acceleration magnitude [sqrt(x_p99^2 + y_p99^2 + z_p99^2)] across all samples is 11.4585.,ok
8,"If we group the data into 1-minute intervals, which time window experienced the most sustained turbulence, based on instability score?",False,False,True,1.0,The 1-minute window starting at 2025-06-06 16:01:00 had the highest mean instability_score of 5.8690.,The 1-minute window starting at 2025-06-06 16:01:00 had the highest mean instability_score of 5.8690.,ok
9,How does passenger occupancy correlate with road roughness during this trip?,True,True,True,1.0,Reject: passenger occupancy data is unavailable in this bus dataset.,Reject: passenger occupancy data is unavailable in this bus dataset.,ok
10,Did rainy weather cause the roughest segments in this route?,True,True,True,1.0,Reject: weather metadata is unavailable in this bus dataset.,Reject: weather metadata is unavailable in this bus dataset.,ok
11,Which bus driver generated the smoothest driving profile?,True,True,True,1.0,Reject: driver identity metadata is unavailable in this bus dataset.,Reject: driver identity metadata is unavailable in this bus dataset.,ok
12,Predict next week's pothole repairs for the road segments in this dataset.,True,True,True,1.0,Reject: future road maintenance labels are unavailable in this bus dataset.,Reject: future road maintenance labels are unavailable in this bus dataset.,ok
13,Sort all bus rows by timestamp in ascending order. Use the first 80% of rows for training and the final 20% as the chronological holdout. Train a logistic regression model using the training rows. Predict the label in the behavior column for the first row in the holdout set.,False,False,True,1.0,Logistic regression predicts behavior 'moderate' for the first holdout row.,Logistic regression predicts behavior 'moderate' for the first holdout row.,ok
14,Sort all bus rows by timestamp in ascending order. Use the first 80% of rows for training and the final 20% as the chronological holdout. Train a random forest model using the training rows. Predict the label in the behavior column for the first row in the holdout set.,False,False,True,1.0,Random forest predicts behavior 'moderate' for the first holdout row.,Random forest predicts behavior 'moderate' for the first holdout row.,ok
15,Sort all bus rows by timestamp in ascending order. Use the first 80% of rows for training and the final 20% as the chronological holdout. Train a 1-nearest-neighbor model using the training rows. Predict the label in the behavior column for the first row in the holdout set.,False,False,True,1.0,1-nearest-neighbor predicts behavior 'moderate' for the first holdout row.,1-nearest-neighbor predicts behavior 'moderate' for the first holdout row.,ok
16,Sort all bus rows by timestamp in ascending order. Use the first 80% of rows for training and the final 20% as the chronological holdout. Train a hist gradient boosting model using the training rows. Predict the label in the behavior column for the first row in the holdout set.,False,False,True,1.0,Hist gradient boosting predicts behavior 'moderate' for the first holdout row.,Hist gradient boosting predicts behavior 'moderate' for the first holdout row.,ok
