run_id,baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run
1,FLASH_FUSION,1,1.0,llm_judge_score,5.047306060791016,0.00033773,472,75,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,2,1.0,llm_judge_score,5.531017065048218,0.0003806599999999,522,92,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,3,1.0,llm_judge_score,5.934444189071655,0.0004007499999999,544,101,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,4,1.0,llm_judge_score,5.853465795516968,0.00050848,665,147,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,5,1.0,llm_judge_score,6.561202049255371,0.0010201799999999,1227,375,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,6,1.0,llm_judge_score,5.956873893737793,0.0007613499999999,953,252,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,7,1.0,llm_judge_score,7.147078037261963,0.00083752,1058,270,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,8,0.0,llm_judge_score,7.252779006958008,0.00097383,1123,394,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,3.461246967315674,0.00049362,368,350,False,True,,"S1,S2,S3,guardrail"
1,FLASH_FUSION,10,1.0,guardrail_skip_expected_rejection,2.5035300254821777,0.0004695599999999,354,330,False,True,,"S1,S2,S3,guardrail"
1,FLASH_FUSION,11,1.0,guardrail_skip_expected_rejection,2.797229051589966,0.00038186,279,275,False,True,,"S1,S2,S3,guardrail"
1,FLASH_FUSION,12,1.0,guardrail_skip_expected_rejection,4.889818906784058,0.00063752,478,450,False,True,,"S1,S2,S3,guardrail"
2,FLASH_FUSION,1,1.0,llm_judge_score,5.7242591381073,0.00033379,468,73,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,2,1.0,llm_judge_score,5.459052085876465,0.0003806599999999,522,92,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,3,1.0,llm_judge_score,5.170367002487183,0.00042044,568,108,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,4,1.0,llm_judge_score,5.71900486946106,0.00049174,646,140,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,5,1.0,llm_judge_score,6.020763874053955,0.00084894,1072,274,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,6,1.0,llm_judge_score,6.697224140167236,0.00076529,957,254,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,7,1.0,llm_judge_score,6.272085666656494,0.00080499,956,305,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,8,0.0,llm_judge_score,6.331390857696533,0.00088579,1105,296,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,2.6773159503936768,0.00039759,307,274,False,True,,"S1,S2,S3,guardrail"
2,FLASH_FUSION,10,1.0,guardrail_skip_expected_rejection,2.807616710662842,0.00045321,337,322,False,True,,"S1,S2,S3,guardrail"
2,FLASH_FUSION,11,1.0,guardrail_skip_expected_rejection,2.510796070098877,0.00043744,325,311,False,True,,"S1,S2,S3,guardrail"
2,FLASH_FUSION,12,1.0,guardrail_skip_expected_rejection,3.2947020530700684,0.00060144,453,423,False,True,,"S1,S2,S3,guardrail"
3,FLASH_FUSION,1,1.0,llm_judge_score,5.0257248878479,0.00033379,468,73,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,2,1.0,llm_judge_score,5.30350399017334,0.0004107899999999,557,104,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,3,1.0,llm_judge_score,6.089698791503906,0.0005899999999999,763,177,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,4,1.0,llm_judge_score,5.224717140197754,0.0004592499999999,607,128,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,5,1.0,llm_judge_score,5.786339998245239,0.0008531599999999,1043,301,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,6,0.0,llm_judge_score,6.244746923446655,0.00077237,969,254,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,7,1.0,llm_judge_score,7.065616130828857,0.00074181,948,231,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,8,0.0,llm_judge_score,6.618038177490234,0.00103546,1198,416,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,2.9101450443267822,0.0005367799999999,405,377,False,True,,"S1,S2,S3,guardrail"
3,FLASH_FUSION,10,1.0,guardrail_skip_expected_rejection,2.891479015350342,0.0004804099999999,359,340,False,True,,"S1,S2,S3,guardrail"
3,FLASH_FUSION,11,1.0,guardrail_skip_expected_rejection,2.6919867992401123,0.00038717,288,275,False,True,,"S1,S2,S3,guardrail"
3,FLASH_FUSION,12,1.0,guardrail_skip_expected_rejection,3.524200916290283,0.00067163,501,476,False,True,,"S1,S2,S3,guardrail"
