query_id,baseline,query_text,llm_verdict,llm_score,llm_reason
1,AUTOIOT_PAPER,What is the minimum MLII value recorded for record_id 101?,PASS,1.0,The candidate answer matches the ground truth.
1,AUTOIOT_PAPER,What is the minimum MLII value recorded for record_id 101?,FAIL,0.0,Candidate answer does not provide the minimum MLII value
1,AUTOIOT_PAPER,What is the minimum MLII value recorded for record_id 101?,PASS,1.0,Candidate answer matches ground truth
1,FLASH_FUSION,What is the minimum MLII value recorded for record_id 101?,FAIL,0.0,"Candidate answer is a timeout message, not a numeric value."
1,FLASH_FUSION,What is the minimum MLII value recorded for record_id 101?,FAIL,0.0,"Candidate answer is a timeout message, not a factual answer."
1,FLASH_FUSION,What is the minimum MLII value recorded for record_id 101?,FAIL,0.0,"Candidate answer is a timeout message, not a factual answer."
1,HARGPT_PAPER,What is the minimum MLII value recorded for record_id 101?,FAIL,0.0,Candidate answer does not match ground truth
1,HARGPT_PAPER,What is the minimum MLII value recorded for record_id 101?,FAIL,0.0,Candidate answer does not match ground truth
1,HARGPT_PAPER,What is the minimum MLII value recorded for record_id 101?,FAIL,0.0,Candidate answer does not match ground truth
1,LLMSENSE_PAPER,What is the minimum MLII value recorded for record_id 101?,FAIL,0.0,Candidate answer is incorrect and does not match the ground truth.
1,LLMSENSE_PAPER,What is the minimum MLII value recorded for record_id 101?,FAIL,0.0,Candidate answer is incorrect and does not match the ground truth.
1,LLMSENSE_PAPER,What is the minimum MLII value recorded for record_id 101?,FAIL,0.0,Candidate answer is incorrect and does not match the ground truth.
2,AUTOIOT_PAPER,What is the total recording duration in seconds (maximum time_s) for record_id 234?,FAIL,0.0,Candidate answer does not match ground truth
2,AUTOIOT_PAPER,What is the total recording duration in seconds (maximum time_s) for record_id 234?,PASS,1.0,Candidate answer matches ground truth within allowed rounding difference.
2,AUTOIOT_PAPER,What is the total recording duration in seconds (maximum time_s) for record_id 234?,PASS,1.0,Candidate answer is factually correct
2,FLASH_FUSION,What is the total recording duration in seconds (maximum time_s) for record_id 234?,FAIL,0.0,"Candidate answer is a timeout message, not a factual answer."
2,FLASH_FUSION,What is the total recording duration in seconds (maximum time_s) for record_id 234?,FAIL,0.0,"Candidate answer is a timeout message, not a factual answer."
2,FLASH_FUSION,What is the total recording duration in seconds (maximum time_s) for record_id 234?,FAIL,0.0,"Candidate answer is a timeout message, not a factual answer."
2,HARGPT_PAPER,What is the total recording duration in seconds (maximum time_s) for record_id 234?,FAIL,0.0,Candidate answer does not match ground truth
2,HARGPT_PAPER,What is the total recording duration in seconds (maximum time_s) for record_id 234?,FAIL,0.0,Candidate answer does not match ground truth
2,HARGPT_PAPER,What is the total recording duration in seconds (maximum time_s) for record_id 234?,FAIL,0.0,Candidate answer does not match ground truth
2,LLMSENSE_PAPER,What is the total recording duration in seconds (maximum time_s) for record_id 234?,FAIL,0.0,Candidate answer is incorrect and does not match the ground truth.
2,LLMSENSE_PAPER,What is the total recording duration in seconds (maximum time_s) for record_id 234?,FAIL,0.0,Candidate answer is incorrect and does not match the ground truth.
2,LLMSENSE_PAPER,What is the total recording duration in seconds (maximum time_s) for record_id 234?,FAIL,0.0,Candidate answer is incorrect and does not match the ground truth.
3,AUTOIOT_PAPER,How many samples in record_id 106 have an MLII value greater than 0?,PASS,1.0,Candidate answer matches ground truth
3,AUTOIOT_PAPER,How many samples in record_id 106 have an MLII value greater than 0?,FAIL,0.0,Candidate answer does not match ground truth due to execution error.
3,AUTOIOT_PAPER,How many samples in record_id 106 have an MLII value greater than 0?,FAIL,0.0,Candidate answer does not match ground truth
3,FLASH_FUSION,How many samples in record_id 106 have an MLII value greater than 0?,FAIL,0.0,"Candidate answer is a timeout message, not a factual answer."
3,FLASH_FUSION,How many samples in record_id 106 have an MLII value greater than 0?,FAIL,0.0,"Candidate answer is a timeout message, not a factual answer"
3,FLASH_FUSION,How many samples in record_id 106 have an MLII value greater than 0?,FAIL,0.0,"Candidate answer is a timeout message, not a factual answer"
3,HARGPT_PAPER,How many samples in record_id 106 have an MLII value greater than 0?,FAIL,0.0,Candidate answer does not match ground truth
3,HARGPT_PAPER,How many samples in record_id 106 have an MLII value greater than 0?,FAIL,0.0,Candidate answer does not match ground truth
3,HARGPT_PAPER,How many samples in record_id 106 have an MLII value greater than 0?,FAIL,0.0,Candidate answer does not match ground truth
3,LLMSENSE_PAPER,How many samples in record_id 106 have an MLII value greater than 0?,FAIL,0.0,Candidate answer is incorrect
3,LLMSENSE_PAPER,How many samples in record_id 106 have an MLII value greater than 0?,FAIL,0.0,Candidate answer is incorrect
3,LLMSENSE_PAPER,How many samples in record_id 106 have an MLII value greater than 0?,FAIL,0.0,Candidate answer is incorrect
4,AUTOIOT_PAPER,What is the timestamp (time_s) of the very last annotated beat in record_id 221?,FAIL,0.0,Candidate answer differs from ground truth
4,AUTOIOT_PAPER,What is the timestamp (time_s) of the very last annotated beat in record_id 221?,PASS,1.0,The candidate answer matches the ground truth.
4,AUTOIOT_PAPER,What is the timestamp (time_s) of the very last annotated beat in record_id 221?,FAIL,0.0,Candidate answer does not match ground truth
4,FLASH_FUSION,What is the timestamp (time_s) of the very last annotated beat in record_id 221?,FAIL,0.0,"Candidate answer is a timeout message, not a factual answer."
4,FLASH_FUSION,What is the timestamp (time_s) of the very last annotated beat in record_id 221?,FAIL,0.0,"Candidate answer is a timeout message, not a factual answer."
4,FLASH_FUSION,What is the timestamp (time_s) of the very last annotated beat in record_id 221?,FAIL,0.0,"Candidate answer is a timeout message, not a factual answer."
4,HARGPT_PAPER,What is the timestamp (time_s) of the very last annotated beat in record_id 221?,FAIL,0.0,Candidate answer does not match ground truth
4,HARGPT_PAPER,What is the timestamp (time_s) of the very last annotated beat in record_id 221?,FAIL,0.0,Candidate answer does not match ground truth
4,HARGPT_PAPER,What is the timestamp (time_s) of the very last annotated beat in record_id 221?,FAIL,0.0,Candidate answer does not match ground truth
4,LLMSENSE_PAPER,What is the timestamp (time_s) of the very last annotated beat in record_id 221?,FAIL,0.0,Candidate answer is incorrect and does not match the ground truth.
4,LLMSENSE_PAPER,What is the timestamp (time_s) of the very last annotated beat in record_id 221?,FAIL,0.0,Candidate answer is incorrect and does not match the ground truth.
4,LLMSENSE_PAPER,What is the timestamp (time_s) of the very last annotated beat in record_id 221?,FAIL,0.0,Candidate answer is incorrect and does not match the ground truth.
5,AUTOIOT_PAPER,Estimate the average heart rate in beats per minute for record_id 208 based on its total number of annotations and its maximum time_s.,FAIL,0.0,Candidate answer does not match ground truth
5,AUTOIOT_PAPER,Estimate the average heart rate in beats per minute for record_id 208 based on its total number of annotations and its maximum time_s.,FAIL,0.0,Candidate answer does not match ground truth
5,AUTOIOT_PAPER,Estimate the average heart rate in beats per minute for record_id 208 based on its total number of annotations and its maximum time_s.,PASS,1.0,The candidate answer matches the ground truth.
5,FLASH_FUSION,Estimate the average heart rate in beats per minute for record_id 208 based on its total number of annotations and its maximum time_s.,FAIL,0.0,"Candidate answer is a timeout message, not an estimated average heart rate."
5,HARGPT_PAPER,Estimate the average heart rate in beats per minute for record_id 208 based on its total number of annotations and its maximum time_s.,FAIL,0.0,Candidate answer is incorrect
5,HARGPT_PAPER,Estimate the average heart rate in beats per minute for record_id 208 based on its total number of annotations and its maximum time_s.,FAIL,0.0,Candidate answer is incorrect
